date,datetime,SACTMIN,SPOSTMIN
05/20/2018,2018-05-20 09:07:06,,-999
05/20/2018,2018-05-20 21:07:07,,-999
05/20/2018,2018-05-20 21:14:06,,-999
05/20/2018,2018-05-20 21:21:07,,-999
05/20/2018,2018-05-20 21:27:07,,-999
05/20/2018,2018-05-20 21:35:06,,-999
05/20/2018,2018-05-20 21:42:07,,-999
05/20/2018,2018-05-20 21:49:07,,-999
05/20/2018,2018-05-20 21:56:07,,-999
05/20/2018,2018-05-20 22:00:13,,-999
05/20/2018,2018-05-20 22:07:07,,-999
05/21/2018,2018-05-21 08:56:06,,-999
05/21/2018,2018-05-21 09:00:10,,-999
05/21/2018,2018-05-21 09:07:07,,-999
05/21/2018,2018-05-21 21:07:06,,-999
05/21/2018,2018-05-21 21:14:06,,-999
05/21/2018,2018-05-21 21:21:07,,-999
05/21/2018,2018-05-21 21:27:08,,-999
05/21/2018,2018-05-21 21:35:07,,-999
05/21/2018,2018-05-21 21:42:06,,-999
05/21/2018,2018-05-21 21:49:07,,-999
05/21/2018,2018-05-21 21:56:06,,-999
05/21/2018,2018-05-21 22:00:12,,-999
05/21/2018,2018-05-21 22:07:06,,-999
05/22/2018,2018-05-22 07:35:07,,-999
05/22/2018,2018-05-22 07:42:09,,-999
05/22/2018,2018-05-22 07:49:07,,-999
05/22/2018,2018-05-22 07:56:06,,-999
05/22/2018,2018-05-22 08:00:19,,-999
05/22/2018,2018-05-22 08:07:08,,-999
05/22/2018,2018-05-22 08:14:07,,-999
05/22/2018,2018-05-22 08:21:07,,-999
05/22/2018,2018-05-22 08:27:07,,-999
05/22/2018,2018-05-22 08:35:07,,-999
05/22/2018,2018-05-22 08:42:07,,-999
05/22/2018,2018-05-22 08:49:06,,-999
05/22/2018,2018-05-22 08:56:07,,-999
05/22/2018,2018-05-22 09:00:11,,-999
05/22/2018,2018-05-22 09:07:07,,-999
05/22/2018,2018-05-22 21:07:07,,-999
05/22/2018,2018-05-22 21:14:07,,-999
05/22/2018,2018-05-22 21:21:07,,-999
05/22/2018,2018-05-22 21:27:07,,-999
05/22/2018,2018-05-22 21:35:07,,-999
05/22/2018,2018-05-22 21:42:07,,-999
05/22/2018,2018-05-22 21:49:06,,-999
05/22/2018,2018-05-22 21:56:06,,-999
05/22/2018,2018-05-22 22:00:14,,-999
05/22/2018,2018-05-22 22:07:06,,-999
05/23/2018,2018-05-23 08:56:06,,-999
05/23/2018,2018-05-23 09:00:12,,-999
05/23/2018,2018-05-23 09:07:07,,-999
05/23/2018,2018-05-23 21:07:07,,-999
05/23/2018,2018-05-23 21:14:06,,-999
05/23/2018,2018-05-23 21:21:08,,-999
05/23/2018,2018-05-23 21:27:07,,-999
05/23/2018,2018-05-23 21:35:07,,-999
05/23/2018,2018-05-23 21:42:06,,-999
05/23/2018,2018-05-23 21:49:06,,-999
