Ride,Date/Time,Wait Time
Alice in Wonderland,2020-02-01 21:55:03,30
Alice in Wonderland,2020-02-01 22:00:05,30
Alice in Wonderland,2020-02-01 22:05:04,30
Alice in Wonderland,2020-02-01 22:10:05,30
Alice in Wonderland,2020-02-01 22:15:05,30
Alice in Wonderland,2020-02-01 22:20:06,30
Alice in Wonderland,2020-02-01 22:25:04,30
Alice in Wonderland,2020-02-01 22:30:04,30
Alice in Wonderland,2020-02-01 22:35:03,30
Alice in Wonderland,2020-02-01 22:40:07,30
Alice in Wonderland,2020-02-01 22:45:04,30
Alice in Wonderland,2020-02-01 22:50:03,30
Alice in Wonderland,2020-02-01 22:55:04,30
Alice in Wonderland,2020-02-01 23:00:05,30
Alice in Wonderland,2020-02-01 23:05:04,30
Alice in Wonderland,2020-02-01 23:10:04,30
Alice in Wonderland,2020-02-01 23:15:03,30
Alice in Wonderland,2020-02-01 23:20:07,30
Alice in Wonderland,2020-02-01 23:25:04,30
Alice in Wonderland,2020-02-01 23:30:09,30
Alice in Wonderland,2020-02-01 23:35:04,30
Alice in Wonderland,2020-02-01 23:40:05,30
Alice in Wonderland,2020-02-01 23:45:08,30
Alice in Wonderland,2020-02-01 23:50:04,30
Alice in Wonderland,2020-02-01 23:55:06,30
Alice in Wonderland,2020-02-02 00:00:05,30
Alice in Wonderland,2020-02-02 08:20:05,20
Alice in Wonderland,2020-02-02 08:25:04,20
Alice in Wonderland,2020-02-02 08:30:05,20
Alice in Wonderland,2020-02-02 08:35:04,20
Alice in Wonderland,2020-02-02 08:40:05,20
Alice in Wonderland,2020-02-02 08:45:04,20
Alice in Wonderland,2020-02-02 08:50:05,20
Alice in Wonderland,2020-02-02 08:55:05,20
Alice in Wonderland,2020-02-02 09:00:09,25
Alice in Wonderland,2020-02-02 09:05:04,25
Alice in Wonderland,2020-02-02 09:10:07,25
Alice in Wonderland,2020-02-02 09:15:05,25
Alice in Wonderland,2020-02-02 09:20:04,25
Alice in Wonderland,2020-02-02 09:25:04,25
Alice in Wonderland,2020-02-02 09:30:04,25
Alice in Wonderland,2020-02-02 09:35:04,25
Alice in Wonderland,2020-02-02 09:40:04,25
Alice in Wonderland,2020-02-02 09:45:04,25
Alice in Wonderland,2020-02-02 09:50:05,25
Alice in Wonderland,2020-02-02 09:55:04,25
Alice in Wonderland,2020-02-02 10:00:04,25
Alice in Wonderland,2020-02-02 10:05:04,25
Alice in Wonderland,2020-02-02 10:10:05,25
Alice in Wonderland,2020-02-02 10:15:05,25
Alice in Wonderland,2020-02-02 10:20:05,35
Alice in Wonderland,2020-02-02 10:25:03,35
Alice in Wonderland,2020-02-02 10:30:07,35
Alice in Wonderland,2020-02-02 10:35:05,35
Alice in Wonderland,2020-02-02 10:40:07,35
Alice in Wonderland,2020-02-02 10:45:03,35
Alice in Wonderland,2020-02-02 10:50:05,35
Alice in Wonderland,2020-02-02 10:55:05,35
Alice in Wonderland,2020-02-02 11:00:05,35
Alice in Wonderland,2020-02-02 11:05:04,35
Alice in Wonderland,2020-02-02 11:10:05,35
Alice in Wonderland,2020-02-02 11:15:04,35
Alice in Wonderland,2020-02-02 11:20:06,35
Alice in Wonderland,2020-02-02 11:25:04,35
Alice in Wonderland,2020-02-02 11:30:05,35
Alice in Wonderland,2020-02-02 11:35:04,35
Alice in Wonderland,2020-02-02 11:40:05,35
Alice in Wonderland,2020-02-02 11:45:04,35
Alice in Wonderland,2020-02-02 11:50:06,35
Alice in Wonderland,2020-02-02 11:55:07,35
Alice in Wonderland,2020-02-02 12:00:05,35
Alice in Wonderland,2020-02-02 12:05:06,35
Alice in Wonderland,2020-02-02 12:10:05,35
Alice in Wonderland,2020-02-02 12:15:05,35
Alice in Wonderland,2020-02-02 12:20:06,30
Alice in Wonderland,2020-02-02 12:25:04,30
Alice in Wonderland,2020-02-02 12:30:06,30
Alice in Wonderland,2020-02-02 12:35:04,30
Alice in Wonderland,2020-02-02 13:10:04,30
Alice in Wonderland,2020-02-02 13:15:04,30
Alice in Wonderland,2020-02-02 13:20:07,30
Alice in Wonderland,2020-02-02 13:25:04,30
Alice in Wonderland,2020-02-02 13:30:05,30
Alice in Wonderland,2020-02-02 13:35:05,30
Alice in Wonderland,2020-02-02 13:40:07,30
Alice in Wonderland,2020-02-02 13:45:04,30
Alice in Wonderland,2020-02-02 13:50:07,30
Alice in Wonderland,2020-02-02 13:55:03,30
Alice in Wonderland,2020-02-02 14:00:06,30
Alice in Wonderland,2020-02-02 14:05:05,30
Alice in Wonderland,2020-02-02 14:15:03,30
Alice in Wonderland,2020-02-02 14:20:05,30
Alice in Wonderland,2020-02-02 14:25:04,35
Alice in Wonderland,2020-02-02 14:30:04,35
Alice in Wonderland,2020-02-02 14:35:06,40
Alice in Wonderland,2020-02-02 14:40:04,40
Alice in Wonderland,2020-02-02 14:45:07,40
Alice in Wonderland,2020-02-02 14:50:04,40
Alice in Wonderland,2020-02-02 14:55:05,40
Alice in Wonderland,2020-02-02 15:00:06,40
Alice in Wonderland,2020-02-02 15:05:05,40
Alice in Wonderland,2020-02-02 15:10:03,40
Alice in Wonderland,2020-02-02 15:15:05,40
Alice in Wonderland,2020-02-02 15:20:04,40
Alice in Wonderland,2020-02-02 15:25:06,40
Alice in Wonderland,2020-02-02 15:30:04,40
Alice in Wonderland,2020-02-02 15:35:06,40
Alice in Wonderland,2020-02-02 15:40:04,40
Alice in Wonderland,2020-02-02 15:45:04,40
Alice in Wonderland,2020-02-02 15:50:07,25
Alice in Wonderland,2020-02-02 15:55:03,25
Alice in Wonderland,2020-02-02 16:00:04,30
Alice in Wonderland,2020-02-02 16:05:05,30
Alice in Wonderland,2020-02-02 16:10:04,35
Alice in Wonderland,2020-02-02 16:15:07,35
Alice in Wonderland,2020-02-02 16:20:05,25
Alice in Wonderland,2020-02-02 16:25:04,25
Alice in Wonderland,2020-02-02 16:30:06,25
Alice in Wonderland,2020-02-02 16:35:06,25
Alice in Wonderland,2020-02-02 16:40:06,25
Alice in Wonderland,2020-02-02 16:45:04,25
Alice in Wonderland,2020-02-02 16:50:04,25
Alice in Wonderland,2020-02-02 16:55:03,25
Alice in Wonderland,2020-02-02 17:00:04,25
Alice in Wonderland,2020-02-02 17:05:06,25
Alice in Wonderland,2020-02-02 17:10:03,25
Alice in Wonderland,2020-02-02 17:15:05,25
Alice in Wonderland,2020-02-02 17:20:05,25
Alice in Wonderland,2020-02-02 17:25:04,25
Alice in Wonderland,2020-02-02 17:30:05,25
Alice in Wonderland,2020-02-02 17:35:04,25
Alice in Wonderland,2020-02-02 17:40:09,25
Alice in Wonderland,2020-02-02 17:45:03,25
Alice in Wonderland,2020-02-02 17:50:05,25
Alice in Wonderland,2020-02-02 17:55:03,25
Alice in Wonderland,2020-02-02 18:00:04,25
Alice in Wonderland,2020-02-02 18:05:04,25
Alice in Wonderland,2020-02-02 18:10:08,25
Alice in Wonderland,2020-02-02 18:15:04,25
Alice in Wonderland,2020-02-02 18:20:05,15
Alice in Wonderland,2020-02-02 18:25:03,15
Alice in Wonderland,2020-02-02 18:30:05,15
Alice in Wonderland,2020-02-02 18:35:07,15
Alice in Wonderland,2020-02-02 18:40:04,25
Alice in Wonderland,2020-02-02 18:45:05,25
Alice in Wonderland,2020-02-02 18:50:05,15
Alice in Wonderland,2020-02-02 18:55:04,15
Alice in Wonderland,2020-02-02 19:00:05,15
Alice in Wonderland,2020-02-02 19:05:06,15
Alice in Wonderland,2020-02-02 19:10:05,15
Alice in Wonderland,2020-02-02 19:30:05,15
Alice in Wonderland,2020-02-02 19:35:04,15
Alice in Wonderland,2020-02-02 19:40:05,15
Alice in Wonderland,2020-02-02 19:45:03,15
Alice in Wonderland,2020-02-02 19:50:04,25
Alice in Wonderland,2020-02-02 19:55:42,25
Alice in Wonderland,2020-02-02 20:00:05,25
Alice in Wonderland,2020-02-02 20:05:06,25
Alice in Wonderland,2020-02-02 20:10:04,25
Alice in Wonderland,2020-02-02 20:15:04,25
Alice in Wonderland,2020-02-02 20:20:07,25
Alice in Wonderland,2020-02-02 20:25:04,25
Alice in Wonderland,2020-02-02 20:30:06,25
Alice in Wonderland,2020-02-02 20:35:05,25
Alice in Wonderland,2020-02-02 20:40:09,25
Alice in Wonderland,2020-02-02 20:45:03,25
Alice in Wonderland,2020-02-02 20:50:05,15
Alice in Wonderland,2020-02-02 20:55:03,15
Alice in Wonderland,2020-02-02 21:00:09,15
Alice in Wonderland,2020-02-02 21:05:05,15
Alice in Wonderland,2020-02-02 21:10:04,15
Alice in Wonderland,2020-02-02 21:15:07,15
Alice in Wonderland,2020-02-02 21:20:03,15
Alice in Wonderland,2020-02-02 21:25:04,15
Alice in Wonderland,2020-02-02 21:30:07,15
Alice in Wonderland,2020-02-02 21:35:04,15
Alice in Wonderland,2020-02-02 21:40:04,15
Alice in Wonderland,2020-02-02 21:45:28,15
Alice in Wonderland,2020-02-02 21:50:05,15
Alice in Wonderland,2020-02-02 21:55:05,15
Alice in Wonderland,2020-02-02 22:00:05,15
Alice in Wonderland,2020-02-02 22:05:06,15
Alice in Wonderland,2020-02-02 22:10:03,15
Alice in Wonderland,2020-02-02 22:15:05,15
Alice in Wonderland,2020-02-02 22:20:04,15
Alice in Wonderland,2020-02-02 22:25:03,15
Alice in Wonderland,2020-02-02 22:30:13,15
Alice in Wonderland,2020-02-02 22:35:04,15
Alice in Wonderland,2020-02-02 22:40:05,15
Alice in Wonderland,2020-02-02 22:45:03,15
Alice in Wonderland,2020-02-02 22:50:05,15
Alice in Wonderland,2020-02-02 22:55:04,15
Alice in Wonderland,2020-02-02 23:00:07,15
Alice in Wonderland,2020-02-03 09:05:04,5
Alice in Wonderland,2020-02-03 09:10:06,5
Alice in Wonderland,2020-02-03 09:15:04,5
Alice in Wonderland,2020-02-03 09:20:05,5
Alice in Wonderland,2020-02-03 09:25:04,25
Alice in Wonderland,2020-02-03 09:30:07,25
Alice in Wonderland,2020-02-03 09:35:03,30
Alice in Wonderland,2020-02-03 09:40:05,30
Alice in Wonderland,2020-02-03 09:45:03,30
Alice in Wonderland,2020-02-03 09:50:05,30
Alice in Wonderland,2020-02-03 09:55:03,30
Alice in Wonderland,2020-02-03 10:00:06,20
Alice in Wonderland,2020-02-03 10:05:04,20
Alice in Wonderland,2020-02-03 10:10:04,20
Alice in Wonderland,2020-02-03 10:15:06,20
Alice in Wonderland,2020-02-03 10:20:04,20
Alice in Wonderland,2020-02-03 10:25:05,20
Alice in Wonderland,2020-02-03 10:30:04,20
Alice in Wonderland,2020-02-03 10:35:04,20
Alice in Wonderland,2020-02-03 10:40:04,20
Alice in Wonderland,2020-02-03 10:45:04,25
Alice in Wonderland,2020-02-03 10:50:04,25
Alice in Wonderland,2020-02-03 10:55:03,25
Alice in Wonderland,2020-02-03 11:00:06,25
Alice in Wonderland,2020-02-03 11:05:05,25
Alice in Wonderland,2020-02-03 11:10:06,25
Alice in Wonderland,2020-02-03 11:15:04,25
Alice in Wonderland,2020-02-03 11:20:05,25
Alice in Wonderland,2020-02-03 11:25:06,25
Alice in Wonderland,2020-02-03 11:30:04,25
Alice in Wonderland,2020-02-03 11:35:05,25
Alice in Wonderland,2020-02-03 11:40:04,25
Alice in Wonderland,2020-02-03 11:45:04,35
Alice in Wonderland,2020-02-03 11:50:05,35
Alice in Wonderland,2020-02-03 11:55:03,35
Alice in Wonderland,2020-02-03 12:00:06,35
Alice in Wonderland,2020-02-03 12:05:03,35
Alice in Wonderland,2020-02-03 12:10:05,35
Alice in Wonderland,2020-02-03 12:20:07,35
