Park,Date/Time,Wait Time
EPCOT,2020-02-02 18:40:00,20
EPCOT,2020-02-02 18:45:00,21
EPCOT,2020-02-02 18:50:00,20
EPCOT,2020-02-02 18:55:00,17
EPCOT,2020-02-02 19:00:00,17
EPCOT,2020-02-02 19:05:00,17
EPCOT,2020-02-02 19:10:00,17
EPCOT,2020-02-02 19:15:00,17
EPCOT,2020-02-02 19:20:00,16
EPCOT,2020-02-02 19:25:00,18
EPCOT,2020-02-02 19:30:00,20
EPCOT,2020-02-02 19:35:00,17
EPCOT,2020-02-02 19:40:00,18
EPCOT,2020-02-02 19:45:00,17
EPCOT,2020-02-02 19:50:00,18
EPCOT,2020-02-02 19:55:00,18
EPCOT,2020-02-02 20:00:00,18
EPCOT,2020-02-02 20:05:00,16
EPCOT,2020-02-02 20:10:00,16
EPCOT,2020-02-02 20:15:00,16
EPCOT,2020-02-02 20:20:00,16
EPCOT,2020-02-02 20:25:00,17
EPCOT,2020-02-02 20:30:00,18
EPCOT,2020-02-02 20:35:00,16
EPCOT,2020-02-02 20:40:00,16
EPCOT,2020-02-02 20:45:00,15
EPCOT,2020-02-02 20:50:00,15
EPCOT,2020-02-02 20:55:00,12
EPCOT,2020-02-02 21:00:00,11
EPCOT,2020-02-03 08:50:00,7
EPCOT,2020-02-03 08:55:00,7
EPCOT,2020-02-03 09:00:00,7
EPCOT,2020-02-03 09:05:00,16
EPCOT,2020-02-03 09:10:00,24
EPCOT,2020-02-03 09:15:00,26
EPCOT,2020-02-03 09:20:00,24
EPCOT,2020-02-03 09:25:00,26
EPCOT,2020-02-03 09:30:00,26
EPCOT,2020-02-03 09:35:00,26
EPCOT,2020-02-03 09:40:00,23
EPCOT,2020-02-03 09:45:00,24
EPCOT,2020-02-03 09:50:00,26
EPCOT,2020-02-03 09:55:00,27
EPCOT,2020-02-03 10:00:00,29
EPCOT,2020-02-03 10:05:00,29
EPCOT,2020-02-03 10:10:00,33
EPCOT,2020-02-03 10:15:00,32
EPCOT,2020-02-03 10:20:00,32
EPCOT,2020-02-03 10:25:00,33
EPCOT,2020-02-03 10:30:00,33
EPCOT,2020-02-03 10:35:00,36
EPCOT,2020-02-03 10:40:00,36
EPCOT,2020-02-03 10:45:00,36
EPCOT,2020-02-03 10:50:00,38
EPCOT,2020-02-03 11:00:00,41
EPCOT,2020-02-03 11:05:00,42
EPCOT,2020-02-03 11:10:00,42
EPCOT,2020-02-03 11:15:00,43
EPCOT,2020-02-03 11:20:00,43
EPCOT,2020-02-03 11:25:00,44
EPCOT,2020-02-03 11:30:00,43
EPCOT,2020-02-03 11:35:00,43
EPCOT,2020-02-03 11:40:00,44
EPCOT,2020-02-03 11:45:00,42
EPCOT,2020-02-03 11:50:00,41
EPCOT,2020-02-03 11:55:00,43
EPCOT,2020-02-03 12:00:00,41
EPCOT,2020-02-03 12:05:00,43
EPCOT,2020-02-03 12:10:00,42
EPCOT,2020-02-03 12:15:00,38
EPCOT,2020-02-03 12:20:00,39
EPCOT,2020-02-03 12:25:00,33
EPCOT,2020-02-03 12:30:00,33
EPCOT,2020-02-03 12:35:00,33
EPCOT,2020-02-03 12:40:00,32
EPCOT,2020-02-03 12:45:00,33
EPCOT,2020-02-03 12:50:00,30
EPCOT,2020-02-03 12:55:00,30
EPCOT,2020-02-03 13:00:00,28
EPCOT,2020-02-03 13:05:00,29
EPCOT,2020-02-03 13:10:00,27
EPCOT,2020-02-03 13:15:00,27
EPCOT,2020-02-03 13:20:00,28
EPCOT,2020-02-03 13:25:00,26
EPCOT,2020-02-03 13:30:00,25
EPCOT,2020-02-03 13:35:00,24
EPCOT,2020-02-03 13:40:00,23
EPCOT,2020-02-03 13:45:00,23
EPCOT,2020-02-03 13:50:00,21
EPCOT,2020-02-03 13:55:00,22
EPCOT,2020-02-03 14:00:00,24
EPCOT,2020-02-03 14:05:00,24
EPCOT,2020-02-03 14:10:00,25
EPCOT,2020-02-03 14:15:00,24
EPCOT,2020-02-03 14:20:00,23
EPCOT,2020-02-03 14:25:00,24
EPCOT,2020-02-03 14:30:00,24
EPCOT,2020-02-03 14:35:00,24
EPCOT,2020-02-03 14:40:00,26
EPCOT,2020-02-03 14:45:00,25
EPCOT,2020-02-03 14:50:00,24
EPCOT,2020-02-03 14:55:00,23
EPCOT,2020-02-03 15:00:00,23
EPCOT,2020-02-03 15:05:00,24
EPCOT,2020-02-03 15:10:00,24
EPCOT,2020-02-03 15:15:00,24
EPCOT,2020-02-03 15:20:00,24
EPCOT,2020-02-03 15:25:00,24
EPCOT,2020-02-03 15:30:00,26
EPCOT,2020-02-03 15:35:00,25
EPCOT,2020-02-03 15:40:00,25
EPCOT,2020-02-03 15:45:00,26
EPCOT,2020-02-03 15:50:00,26
EPCOT,2020-02-03 15:55:00,23
EPCOT,2020-02-03 16:00:00,23
EPCOT,2020-02-03 16:05:00,22
EPCOT,2020-02-03 16:10:00,22
EPCOT,2020-02-03 16:15:00,22
EPCOT,2020-02-03 16:20:00,22
EPCOT,2020-02-03 16:25:00,22
EPCOT,2020-02-03 16:30:00,22
EPCOT,2020-02-03 16:35:00,21
EPCOT,2020-02-03 16:40:00,22
EPCOT,2020-02-03 16:45:00,20
EPCOT,2020-02-03 16:50:00,20
EPCOT,2020-02-03 16:55:00,19
EPCOT,2020-02-03 17:00:00,20
EPCOT,2020-02-03 17:05:00,21
EPCOT,2020-02-03 17:10:00,20
EPCOT,2020-02-03 17:15:00,18
EPCOT,2020-02-03 17:20:00,20
EPCOT,2020-02-03 17:25:00,21
EPCOT,2020-02-03 17:30:00,22
EPCOT,2020-02-03 17:35:00,22
EPCOT,2020-02-03 17:40:00,22
EPCOT,2020-02-03 17:45:00,22
EPCOT,2020-02-03 17:50:00,22
EPCOT,2020-02-03 17:55:00,20
EPCOT,2020-02-03 18:00:00,20
EPCOT,2020-02-03 18:05:00,20
EPCOT,2020-02-03 18:10:00,22
EPCOT,2020-02-03 18:15:00,21
EPCOT,2020-02-03 18:20:00,22
EPCOT,2020-02-03 18:25:00,22
EPCOT,2020-02-03 18:30:00,22
EPCOT,2020-02-03 18:35:00,23
EPCOT,2020-02-03 18:40:00,20
EPCOT,2020-02-03 18:45:00,22
EPCOT,2020-02-03 18:50:00,22
EPCOT,2020-02-03 18:55:00,20
EPCOT,2020-02-03 19:00:00,19
EPCOT,2020-02-03 19:05:00,21
EPCOT,2020-02-03 19:10:00,21
EPCOT,2020-02-03 19:15:00,20
EPCOT,2020-02-03 19:20:00,21
EPCOT,2020-02-03 19:25:00,22
EPCOT,2020-02-03 19:30:00,20
EPCOT,2020-02-03 19:35:00,21
EPCOT,2020-02-03 19:40:00,20
EPCOT,2020-02-03 19:45:00,21
EPCOT,2020-02-03 19:50:00,20
EPCOT,2020-02-03 19:55:00,18
EPCOT,2020-02-03 20:00:00,19
EPCOT,2020-02-03 20:05:00,21
EPCOT,2020-02-03 20:10:00,21
EPCOT,2020-02-03 20:15:00,21
EPCOT,2020-02-03 20:20:00,21
EPCOT,2020-02-03 20:25:00,21
EPCOT,2020-02-03 20:30:00,19
EPCOT,2020-02-03 20:35:00,19
EPCOT,2020-02-03 20:40:00,18
EPCOT,2020-02-03 20:45:00,16
EPCOT,2020-02-03 20:50:00,10
EPCOT,2020-02-03 20:55:00,10
EPCOT,2020-02-03 21:00:00,10
EPCOT,2020-02-04 09:00:00,11
EPCOT,2020-02-04 09:05:00,13
EPCOT,2020-02-04 09:10:00,13
EPCOT,2020-02-04 09:15:00,13
EPCOT,2020-02-04 09:20:00,16
EPCOT,2020-02-04 09:25:00,17
EPCOT,2020-02-04 09:30:00,17
EPCOT,2020-02-04 09:35:00,17
EPCOT,2020-02-04 09:40:00,17
EPCOT,2020-02-04 09:45:00,18
EPCOT,2020-02-04 09:50:00,19
EPCOT,2020-02-04 09:55:00,19
EPCOT,2020-02-04 10:00:00,23
EPCOT,2020-02-04 10:05:00,23
EPCOT,2020-02-04 10:10:00,24
EPCOT,2020-02-04 10:15:00,28
EPCOT,2020-02-04 10:20:00,30
EPCOT,2020-02-04 10:25:00,30
EPCOT,2020-02-04 10:30:00,32
EPCOT,2020-02-04 10:35:00,32
EPCOT,2020-02-04 10:40:00,33
EPCOT,2020-02-04 10:45:00,34
