date,datetime,SACTMIN,SPOSTMIN
01/17/2015,2015-01-17 20:50:05,,20
01/17/2015,2015-01-17 20:55:04,,20
01/17/2015,2015-01-17 21:00:06,,20
01/17/2015,2015-01-17 21:05:06,,20
01/17/2015,2015-01-17 21:10:06,,15
01/17/2015,2015-01-17 21:15:06,,15
01/17/2015,2015-01-17 21:20:05,,15
01/17/2015,2015-01-17 21:25:05,,15
01/17/2015,2015-01-17 21:30:06,,15
01/17/2015,2015-01-17 21:35:05,,15
01/17/2015,2015-01-17 21:40:05,,15
01/17/2015,2015-01-17 21:45:05,,25
01/17/2015,2015-01-17 21:50:05,,25
01/17/2015,2015-01-17 21:55:05,,25
01/17/2015,2015-01-17 22:00:06,,10
01/17/2015,2015-01-17 22:05:05,,10
01/17/2015,2015-01-17 22:10:05,,10
01/17/2015,2015-01-17 22:15:05,,10
01/17/2015,2015-01-17 22:20:06,,10
01/17/2015,2015-01-17 22:25:05,,10
01/17/2015,2015-01-17 22:30:05,,10
01/17/2015,2015-01-17 22:35:05,,10
01/17/2015,2015-01-17 22:40:05,,10
01/17/2015,2015-01-17 22:45:06,,10
01/17/2015,2015-01-17 22:50:05,,10
01/17/2015,2015-01-17 22:55:05,,10
01/17/2015,2015-01-17 23:00:06,,15
01/17/2015,2015-01-17 23:05:05,,15
01/17/2015,2015-01-17 23:10:05,,15
01/17/2015,2015-01-17 23:15:06,,15
01/17/2015,2015-01-17 23:20:06,,10
01/17/2015,2015-01-17 23:25:05,,10
01/17/2015,2015-01-17 23:30:06,,10
01/17/2015,2015-01-17 23:35:05,,10
01/17/2015,2015-01-17 23:40:06,,10
01/17/2015,2015-01-17 23:41:08,,15
01/17/2015,2015-01-17 23:45:05,,15
01/17/2015,2015-01-17 23:50:06,,10
01/17/2015,2015-01-17 23:55:05,,10
01/17/2015,2015-01-18 00:00:06,,10
01/17/2015,2015-01-18 00:05:05,,10
01/17/2015,2015-01-18 00:10:05,,10
01/17/2015,2015-01-18 00:15:05,,10
01/17/2015,2015-01-18 00:20:05,,10
01/17/2015,2015-01-18 00:25:05,,5
01/17/2015,2015-01-18 00:30:06,,5
01/17/2015,2015-01-18 00:35:05,,5
01/17/2015,2015-01-18 00:40:05,,5
01/17/2015,2015-01-18 00:45:05,,5
01/17/2015,2015-01-18 00:50:05,,5
01/17/2015,2015-01-18 00:55:05,,5
01/17/2015,2015-01-18 01:00:06,,5
01/18/2015,2015-01-18 08:55:05,,5
01/18/2015,2015-01-18 09:00:06,,5
01/18/2015,2015-01-18 09:05:06,,10
01/18/2015,2015-01-18 09:10:06,,10
01/18/2015,2015-01-18 09:15:05,,10
01/18/2015,2015-01-18 09:20:05,,10
01/18/2015,2015-01-18 09:24:51,,10
01/18/2015,2015-01-18 09:25:05,,10
01/18/2015,2015-01-18 09:30:05,,10
01/18/2015,2015-01-18 09:35:05,,10
01/18/2015,2015-01-18 09:35:54,,10
01/18/2015,2015-01-18 09:36:05,3,
01/18/2015,2015-01-18 09:40:07,,10
01/18/2015,2015-01-18 09:45:05,,10
01/18/2015,2015-01-18 09:50:06,,10
01/18/2015,2015-01-18 09:55:05,,10
01/18/2015,2015-01-18 10:00:05,,10
01/18/2015,2015-01-18 10:05:05,,10
