,Date,Time,Waiting Time
208,05/10/2016,2016-05-10 14:14:10,5.0
209,05/10/2016,2016-05-10 14:21:16,5.0
210,05/10/2016,2016-05-10 14:27:05,5.0
211,05/10/2016,2016-05-10 14:35:12,5.0
212,05/10/2016,2016-05-10 14:42:09,5.0
213,05/10/2016,2016-05-10 14:49:09,5.0
214,05/10/2016,2016-05-10 14:56:09,5.0
215,05/10/2016,2016-05-10 15:00:22,5.0
216,05/10/2016,2016-05-10 15:07:14,5.0
217,05/10/2016,2016-05-10 15:14:06,5.0
218,05/10/2016,2016-05-10 15:21:10,5.0
219,05/10/2016,2016-05-10 15:27:16,5.0
220,05/10/2016,2016-05-10 15:42:11,5.0
221,05/10/2016,2016-05-10 15:49:11,5.0
222,05/10/2016,2016-05-10 15:56:48,5.0
223,05/10/2016,2016-05-10 16:00:11,5.0
224,05/10/2016,2016-05-10 16:07:10,5.0
225,05/10/2016,2016-05-10 16:14:06,5.0
226,10/25/2016,2016-10-25 15:35:13,5.0
227,10/25/2016,2016-10-25 15:42:09,5.0
228,10/25/2016,2016-10-25 15:49:55,5.0
229,10/25/2016,2016-10-25 15:56:10,5.0
230,10/25/2016,2016-10-25 16:07:11,5.0
231,10/25/2016,2016-10-25 16:14:08,5.0
232,10/25/2016,2016-10-25 16:21:08,5.0
233,10/25/2016,2016-10-25 16:27:07,5.0
234,10/25/2016,2016-10-25 16:42:10,5.0
235,10/25/2016,2016-10-25 16:49:11,5.0
236,10/25/2016,2016-10-25 16:56:10,5.0
237,10/25/2016,2016-10-25 17:00:10,5.0
238,10/25/2016,2016-10-25 17:07:22,5.0
239,10/25/2016,2016-10-25 17:14:09,5.0
240,10/25/2016,2016-10-25 17:21:25,5.0
241,10/25/2016,2016-10-25 17:27:10,5.0
242,10/25/2016,2016-10-25 17:35:13,5.0
243,10/25/2016,2016-10-25 17:42:13,5.0
244,10/25/2016,2016-10-25 17:49:10,5.0
245,10/25/2016,2016-10-25 17:56:11,5.0
246,10/25/2016,2016-10-25 18:07:10,5.0
247,10/25/2016,2016-10-25 18:14:15,5.0
248,10/25/2016,2016-10-25 18:21:04,5.0
249,10/25/2016,2016-10-25 18:35:15,5.0
250,10/25/2016,2016-10-25 18:49:08,5.0
251,10/25/2016,2016-10-25 18:56:10,5.0
252,10/25/2016,2016-10-25 19:07:04,5.0
253,10/25/2016,2016-10-25 19:14:10,5.0
254,10/25/2016,2016-10-25 19:21:07,5.0
255,10/25/2016,2016-10-25 19:27:30,5.0
256,10/25/2016,2016-10-25 19:35:10,5.0
257,10/25/2016,2016-10-25 19:42:11,5.0
258,10/25/2016,2016-10-25 19:49:12,5.0
259,10/25/2016,2016-10-25 19:56:19,5.0
260,10/25/2016,2016-10-25 20:07:42,5.0
261,10/25/2016,2016-10-25 20:14:15,5.0
262,10/25/2016,2016-10-25 20:21:14,5.0
263,10/25/2016,2016-10-25 20:35:14,5.0
264,10/25/2016,2016-10-25 20:49:10,5.0
265,10/25/2016,2016-10-25 20:56:14,5.0
266,10/25/2016,2016-10-25 21:07:14,5.0
267,10/25/2016,2016-10-25 21:14:15,5.0
268,10/25/2016,2016-10-25 21:21:19,5.0
269,10/25/2016,2016-10-25 21:27:15,5.0
270,10/25/2016,2016-10-25 21:35:12,5.0
271,10/25/2016,2016-10-25 21:42:12,5.0
272,10/25/2016,2016-10-25 21:49:04,5.0
273,10/25/2016,2016-10-25 21:56:09,5.0
274,10/25/2016,2016-10-25 22:07:08,5.0
275,10/25/2016,2016-10-25 22:14:10,5.0
276,10/25/2016,2016-10-25 22:21:17,5.0
277,10/25/2016,2016-10-25 22:27:16,5.0
278,10/25/2016,2016-10-25 22:35:18,5.0
279,10/25/2016,2016-10-25 22:42:15,5.0
280,10/25/2016,2016-10-25 22:49:21,5.0
281,10/25/2016,2016-10-25 22:56:15,5.0
282,10/26/2016,2016-10-26 14:27:10,5.0
283,10/26/2016,2016-10-26 14:35:17,5.0
284,10/26/2016,2016-10-26 14:49:08,5.0
285,10/26/2016,2016-10-26 14:56:55,5.0
286,10/26/2016,2016-10-26 15:07:10,5.0
287,10/26/2016,2016-10-26 15:27:11,5.0
288,10/26/2016,2016-10-26 15:35:17,5.0
289,10/26/2016,2016-10-26 15:49:08,5.0
290,10/26/2016,2016-10-26 15:56:10,5.0
291,10/26/2016,2016-10-26 16:07:10,5.0
292,10/26/2016,2016-10-26 16:14:15,5.0
293,10/26/2016,2016-10-26 16:21:12,5.0
294,10/26/2016,2016-10-26 16:42:11,5.0
295,10/26/2016,2016-10-26 16:49:18,5.0
296,10/26/2016,2016-10-26 16:56:08,5.0
297,10/26/2016,2016-10-26 17:07:19,5.0
